Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers (1) ,20,11,0.645,—,114.1,111.4,2.12
Brooklyn Nets (2) ,20,12,0.625,0.5,121,117,3.82
Milwaukee Bucks (3) ,18,13,0.581,2,119.2,112.1,6.61
Indiana Pacers (4) ,15,14,0.517,4,113.4,111.9,1.61
Toronto Raptors (5) ,16,15,0.516,4,113.1,110.3,2.42
Boston Celtics (6) ,15,15,0.5,4.5,110.8,109.8,1.3
New York Knicks (7) ,15,16,0.484,5,103.5,103.5,-0.68
Charlotte Hornets (8) ,14,15,0.483,5,110.9,111.3,-0.76
Chicago Bulls (9) ,13,16,0.448,6,114.5,115.3,-1.33
Miami Heat (10) ,13,17,0.433,6.5,106.8,109.9,-2.63
Atlanta Hawks (10) ,13,17,0.433,6.5,113.3,113.2,0.76
Orlando Magic (12) ,13,18,0.419,7,105.5,110.8,-6.43
Washington Wizards (13) ,10,17,0.37,8,114,119.1,-5.63
Cleveland Cavaliers (14) ,10,21,0.323,10,103.8,113.4,-8.62
Detroit Pistons (15) ,8,22,0.267,11.5,107.8,112.3,-3.29
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,