Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Utah Jazz (1) ,24,6,0.8,—,115.5,106.3,9.95
Los Angeles Lakers (2) ,22,9,0.71,2.5,111.8,105.5,5.24
Los Angeles Clippers (3) ,22,10,0.688,3,115.2,108.8,6.02
Phoenix Suns (4) ,19,10,0.655,4.5,112.6,107.8,4.71
Portland Trail Blazers (5) ,18,11,0.621,5.5,115.7,115.2,-0.34
San Antonio Spurs (6) ,16,11,0.593,6.5,111.1,111.5,-0.37
Denver Nuggets (7) ,16,14,0.533,8,115.5,111.8,3.66
Golden State Warriors (8) ,16,15,0.516,8.5,114.4,112.8,1.53
Memphis Grizzlies (9) ,13,13,0.5,9,111.1,112.4,-1.36
Dallas Mavericks (10) ,13,15,0.464,10,112.9,114.6,-0.28
New Orleans Pelicans (11) ,13,17,0.433,11,114.8,115.1,0.1
Oklahoma City Thunder (12) ,12,18,0.4,12,107.2,112.7,-4.71
Sacramento Kings (12) ,12,18,0.4,12,113.8,119.6,-4.83
Houston Rockets (14) ,11,17,0.393,12,109.4,111.3,-2.87
Minnesota Timberwolves (15) ,7,24,0.226,17.5,107.5,114.8,-7.05